0.959292497676151 - 0.197938203031953i	0.911676795805809 - 0.356436734192182i	0.836003452958635 - 0.497542424897416i	0.717222351257495 - 0.637900283023075i	0.693442606277291 + 0.654085443843616i	0.799014436421743 + 0.502142424399567i	0.930352534353635 + 0.338705443014275i	1.00552913696350 + 0.185123791459251i
0.963781380282878 - 0.166651276179489i	0.952577697615905 - 0.332053410846238i	0.776536660481963 - 0.516605006109178i	0.737804905974638 - 0.662912742777977i	0.703699322424410 + 0.647452935033202i	0.793332174781505 + 0.529806898854012i	0.904904490347857 + 0.362443175173544i	0.981553526523841 + 0.229190636955004i
1.01265405885611 - 0.185903146231020i	0.903797528920168 - 0.377827568418488i	0.838281863838762 - 0.526965330696464i	0.690272424335310 - 0.665118169205996i	0.681237661563835 + 0.683615988362832i	0.862628652807149 + 0.491300807104555i	0.914728048429670 + 0.351224972880786i	0.979741888707574 + 0.179483605578978i
0.972856705365644 - 0.185967405022518i	0.888923538306539 - 0.367076615422437i	0.825857377678897 - 0.482128225668703i	0.688969820577297 - 0.660142016075594i	0.684344124216977 + 0.617058000869466i	0.849889757642867 + 0.509368196611054i	0.924464556273510 + 0.364432886376571i	0.980765708645800 + 0.178150441994447i
0.957348507583995 - 0.200277727742077i	0.945274533074415 - 0.344572001090897i	0.859031661347109 - 0.547361386407310i	0.700942358113211 - 0.680746746039011i	0.709830591114801 + 0.669671807995003i	0.793443882851311 + 0.564481990758325i	0.913886939482558 + 0.354499639066679i	0.949147121961000 + 0.183133417384460i
0.976625275003102 - 0.201477435085541i	0.909818653384054 - 0.379474173749496i	0.842361402525833 - 0.526029371406872i	0.707806355262644 - 0.660617130493911i	0.694256651814098 + 0.665823437978899i	0.839884244348482 + 0.514518081076339i	0.944248244373469 + 0.337917243554878i	0.976282863315482 + 0.193267331476259i
0.978831932426506 - 0.226925627157729i	0.917448034689281 - 0.383950640180253i	0.817900656035351 - 0.511426686506416i	0.679046186110140 - 0.682946561248679i	0.707738373770572 + 0.640323524612930i	0.788615062583068 + 0.525621982191765i	0.894188291283044 + 0.388332625077706i	0.977489553154451 + 0.236680494973650i
0.999376612139626 - 0.204027661033389i	0.918891341146432 - 0.345833578597975i	0.800531121185125 - 0.501789039214303i	0.693625082194185 - 0.632942037322843i	0.706193293641063 + 0.677596640733458i	0.834553790310904 + 0.534259174318793i	0.921344955943034 + 0.368887844670308i	0.982303952075875 + 0.216804807231631i
0.971442596615085 - 0.174237925571013i	0.961331331494245 - 0.369607797295729i	0.844354621592815 - 0.551807703800040i	0.713804740810137 - 0.643251906343773i	0.718085331135210 + 0.712614845777658i	0.789664745789486 + 0.550838981271436i	0.937709026593355 + 0.398089275761769i	0.979374868589109 + 0.194630897606877i
0.980267222945675 - 0.180189044092257i	0.968317262607154 - 0.370859987704716i	0.858806587422165 - 0.537730116578308i	0.678532282941591 - 0.690294962203567i	0.670381797698210 + 0.678280764421139i	0.848891681033743 + 0.529449547069281i	0.951473052959894 + 0.334110965013786i	0.990754576948384 + 0.208492473681549i
0.987208152433875 - 0.153487229665275i	0.946038692605217 - 0.348007034615533i	0.797602657965670 - 0.546729722419016i	0.704554366854777 - 0.653803876837004i	0.722400900573818 + 0.616001266663296i	0.831802138540068 + 0.562514294129170i	0.920816056104942 + 0.367713884175248i	0.960233535055884 + 0.170028420510914i
1.01753796157350 - 0.182677556636107i	0.911690707149304 - 0.378705810986723i	0.843977731239137 - 0.526259250164231i	0.736453341537258 - 0.659783816764291i	0.665322748041550 + 0.691129614224841i	0.828818733279196 + 0.538974327768564i	0.917839190271145 + 0.341067386327444i	0.991285807695411 + 0.219398020857843i
0.967039846295674 - 0.245556629463521i	0.902144665915694 - 0.359189259256606i	0.854025710084591 - 0.515617078259142i	0.713997795607679 - 0.638080202486714i	0.698994216977194 + 0.685782445781019i	0.804137426684140 + 0.576291261487912i	0.882267989088037 + 0.297829181009843i	0.973892602413492 + 0.211479168500317i
0.986040447414762 - 0.232735023379612i	0.944705369045091 - 0.346748903644112i	0.814453528751528 - 0.550104748708396i	0.758523933756581 - 0.642658622519289i	0.697168117106182 + 0.689740321983682i	0.836489960930458 + 0.521032587862433i	0.940326956187727 + 0.353474839581377i	0.982958650831996 + 0.209590858901139i
0.978413326228354 - 0.188401844333661i	0.912324066435030 - 0.336249912849700i	0.816064039400315 - 0.512576973820498i	0.715788533379238 - 0.622121492886365i	0.711333860145442 + 0.668249688879120i	0.843367946116300 + 0.534441561239118i	0.943403998352560 + 0.347296613474590i	0.942437381679140 + 0.208824361889354i
0.974452123926416 - 0.197711916974233i	0.936938752906630 - 0.349585435617440i	0.798578944485032 - 0.514650487508640i	0.709049125543040 - 0.651913680552223i	0.700955380917768 + 0.626155473151791i	0.835179605115600 + 0.521149753972194i	0.935087122459228 + 0.354134560978134i	1.01956211237470 + 0.167225046360287i
0.980143997732599 - 0.201256331425021i	0.942484398856475 - 0.316391079393425i	0.867480301998491 - 0.561133037230235i	0.679932379907233 - 0.655608224658698i	0.697130903980364 + 0.708791475238929i	0.795313816434756 + 0.517092126841220i	0.938592854675178 + 0.366757581968266i	0.966244951532135 + 0.209373770295309i
0.950459762747238 - 0.222972702967097i	0.885443646125448 - 0.373727182592520i	0.883574326121464 - 0.553165359600248i	0.706708642346232 - 0.686633317688605i	0.667312114671024 + 0.676783137458035i	0.848547748873339 + 0.513480243904378i	0.930807814842366 + 0.365215712520266i	0.918114064483363 + 0.219195883809080i
0.994796133792209 - 0.148686119583566i	0.909008239515106 - 0.379019536434695i	0.847522140519156 - 0.514659164322677i	0.714473114481331 - 0.644554369081274i	0.703305061503003 + 0.647470124346107i	0.796552567577616 + 0.492892789026509i	0.892982611866218 + 0.350097277530093i	1.00409940670055 + 0.176699522024637i
0.958036739095460 - 0.172991188578638i	0.931858526542576 - 0.376208653869422i	0.839095738980201 - 0.485588550162033i	0.731496547350159 - 0.619694298097011i	0.711525561569629 + 0.660845573237360i	0.839339723357347 + 0.532315199494737i	0.952726878666208 + 0.382210556635782i	1.03011411979258 + 0.165293267677004i
