0.822632261157822 - 0.520030131263241i	0.362032602445101 - 0.735720993042637i	-0.0538287509269863 - 0.667066164419788i	-0.320415460497296 - 0.384770650486463i	-0.329743508575398 + 0.320070906469274i	-0.0538340577666852 + 0.666683909530935i	0.365918162800479 + 0.732020872620800i	0.819261612229987 + 0.524596734850964i
0.828739219175662 - 0.524240571263480i	0.328565252456703 - 0.754014510585094i	-0.0582106409946570 - 0.641489387229057i	-0.317966971986840 - 0.332402309211306i	-0.314599705352992 + 0.353136947983714i	-0.0465223724544273 + 0.656284210958920i	0.343059469231047 + 0.783311383658043i	0.847717348802480 + 0.505306501154815i
0.829482685272115 - 0.529482898764987i	0.375160530638511 - 0.777790078659317i	-0.0743080665599472 - 0.667086214455679i	-0.294492285148886 - 0.327470625659659i	-0.289782357081647 + 0.342907825908037i	-0.0526609755894154 + 0.672889481166579i	0.338360293903750 + 0.760265347779835i	0.818485670263911 + 0.508992579962266i
0.820177369324626 - 0.541694112414587i	0.343862995174088 - 0.812117707620371i	-0.120576436142189 - 0.651008949604624i	-0.303171133302138 - 0.370211175094093i	-0.288510454526292 + 0.361876371131943i	-0.0649119270441323 + 0.653958709033556i	0.335172831496248 + 0.750246041898776i	0.814204826113266 + 0.524550185538190i
0.807424086812904 - 0.530742656458365i	0.361138117093533 - 0.779291392502521i	-0.0772542008330009 - 0.626992681870735i	-0.271942654499165 - 0.367614309460601i	-0.252923566654578 + 0.320131861327677i	-0.0782334466107855 + 0.661707133638030i	0.338080124796773 + 0.782017865136512i	0.799554447267633 + 0.518635017245036i
0.827063534748834 - 0.504242784027402i	0.361264114598460 - 0.796168074392228i	-0.117267435535138 - 0.669126691483595i	-0.327105574829111 - 0.374989089384054i	-0.272115763602932 + 0.343539061026685i	-0.0924011652678732 + 0.645351896097706i	0.368008887074389 + 0.759787916721242i	0.857919382916314 + 0.488766925888002i
0.791526001618992 - 0.497282952928061i	0.336435904725065 - 0.750401445535116i	-0.0632301478093815 - 0.678806522091706i	-0.295647477805533 - 0.360789166170456i	-0.251745122302678 + 0.337151106029683i	-0.116591226542659 + 0.690717872810767i	0.372501839695220 + 0.735322932313692i	0.791290259743963 + 0.559517784223349i
0.813945939723041 - 0.519142194306451i	0.396792654877546 - 0.760089258352754i	-0.0957214276537669 - 0.644773867392084i	-0.282965035165472 - 0.291346965117270i	-0.271285434650520 + 0.361715238591327i	-0.102346439902100 + 0.641926536358569i	0.360376475340283 + 0.793648689955961i	0.814838497574567 + 0.511587927152055i
0.774149903792715 - 0.527318113161805i	0.367062816021103 - 0.788523261037231i	-0.0807633186808525 - 0.704249817160509i	-0.291781955419928 - 0.327767739298399i	-0.322011996049910 + 0.372659355302013i	-0.103996348407538 + 0.672338444276617i	0.359231527561558 + 0.801772798565138i	0.838826851509089 + 0.472249959817947i
0.818554362836780 - 0.473897238612223i	0.324584276224941 - 0.758694576493761i	-0.0914337039932757 - 0.661626614981222i	-0.282156977075901 - 0.355061073914960i	-0.263511056789636 + 0.379028049019801i	-0.0504273668939811 + 0.657167031792696i	0.354499818178280 + 0.771313610655319i	0.815282112166345 + 0.498628851722383i
