0.952530340152768 - 0.307198067628025i	0.783744993699180 - 0.551168697184037i	0.539519976445987 - 0.718252047292415i	0.290188572098990 - 0.771745814031310i	0.252258322119778 + 0.798161759336508i	0.528852195573180 + 0.737086547862283i	0.783786553039065 + 0.515010170931834i	0.956634145196783 + 0.287517658194237i
0.944791655088244 - 0.280607847799097i	0.816217983795365 - 0.542749418914288i	0.540341067601964 - 0.724122687188101i	0.282389405346255 - 0.786227696419724i	0.288552177892847 + 0.833795214477755i	0.556186611485565 + 0.737428039846684i	0.753418681673095 + 0.558311131435552i	0.936459815557441 + 0.309708128165233i
0.957194195553735 - 0.297816817471967i	0.756066807573256 - 0.551319885631062i	0.560464972331730 - 0.708409883002994i	0.247593121819516 - 0.752030740273342i	0.287224888450267 + 0.851434295400504i	0.506487187703522 + 0.761613803123720i	0.750012213333163 + 0.608696920223241i	0.906271179887462 + 0.292219190527681i
0.930596160372117 - 0.305138726912545i	0.812716483754897 - 0.510748747468914i	0.554427996439417 - 0.738735884824695i	0.235555111143430 - 0.810560551826877i	0.260395410139574 + 0.810251071994404i	0.492731040418295 + 0.742867667419492i	0.755841711653767 + 0.553541636854210i	0.962200151477674 + 0.299669591454299i
0.964632142097823 - 0.347714183889845i	0.761395417484749 - 0.569641025974457i	0.504713808824964 - 0.744026983233103i	0.227317693130914 - 0.802759825471162i	0.282608501262576 + 0.762584163579776i	0.569617856004345 + 0.712090387115055i	0.747752850776807 + 0.570994114094027i	0.898120514343613 + 0.337009057187097i
0.940786838498958 - 0.327088267785407i	0.744183767258836 - 0.554180104071088i	0.544454909712085 - 0.746502199469227i	0.236196852833428 - 0.816301241479221i	0.232733275524104 + 0.814312154704047i	0.545611192503184 + 0.759162223858095i	0.737097367613608 + 0.580445640529311i	0.911908847163804 + 0.309180351983139i
0.936273328877298 - 0.321671197695633i	0.736957526153698 - 0.550937851844082i	0.543430329734442 - 0.755326460023658i	0.291974098897523 - 0.844798511398748i	0.291657836906179 + 0.794552529495984i	0.539247189841356 + 0.755497887814515i	0.762743994237324 + 0.569973208595639i	0.919564125613309 + 0.341090282890414i
0.964477722097085 - 0.301270763681107i	0.771065745879645 - 0.579912423365512i	0.517419487229035 - 0.715586310954397i	0.277365848502025 - 0.767501414346188i	0.250720994736100 + 0.805617630703232i	0.511448013170767 + 0.734980398169162i	0.781879388197598 + 0.550107989120429i	0.936595003016605 + 0.291178072531333i
0.948407831438438 - 0.293016698936535i	0.762639992795689 - 0.564412288497280i	0.541222423445952 - 0.761298544228136i	0.261745228386133 - 0.792210933047949i	0.289885511088888 + 0.789110933820037i	0.534561384093284 + 0.750361176655580i	0.796788576505863 + 0.526137993984633i	0.971630670439746 + 0.277212628766258i
0.926706462095666 - 0.311812480481856i	0.792350951871553 - 0.539955335494709i	0.537664320943274 - 0.771563415334898i	0.286101245387690 - 0.818612434092760i	0.250649813234637 + 0.792577669170672i	0.523774291813879 + 0.733034790711684i	0.814738486318164 + 0.594265971829675i	0.962634942964041 + 0.322867728257302i
