0.909623373328607 - 0.438205285482083i	0.560728096284642 - 0.711742869473021i	0.172784975885440 - 0.748954613893016i	-0.109069671473155 - 0.652260279029302i	-0.115410868469512 + 0.637312383957183i	0.217708587487098 + 0.770166527125041i	0.566843865149098 + 0.720937704215503i	0.881926950962063 + 0.422153823511969i
0.915805635354160 - 0.447600777560439i	0.586297215150850 - 0.681402458639223i	0.228682839201618 - 0.827110764708139i	-0.136025425266183 - 0.695870346979300i	-0.157917164386681 + 0.619628187681995i	0.182941042695478 + 0.765465065527956i	0.578270246610682 + 0.738655697964631i	0.854776074334914 + 0.401372532142112i
0.860883558762553 - 0.408909374529658i	0.628981376149710 - 0.712238273452325i	0.152435458920642 - 0.794586032100709i	-0.119012403537379 - 0.687715538220132i	-0.127506948939031 + 0.657080454466022i	0.179496377338762 + 0.796934022354904i	0.537027276711924 + 0.674493796503002i	0.897646816906145 + 0.422375933644868i
0.886982219218933 - 0.393176835133813i	0.582901289059082 - 0.698306975784871i	0.165042174474326 - 0.791774852062820i	-0.149920064237878 - 0.693675527211006i	-0.115809323544009 + 0.708306326135959i	0.166170635619186 + 0.762917462550027i	0.589366865583781 + 0.734457260988428i	0.862388819232668 + 0.402742450616318i
0.899110064944129 - 0.455755895749093i	0.571219868466837 - 0.708126022217822i	0.183362348876679 - 0.806233716645746i	-0.114456328777832 - 0.648634741901220i	-0.131175978088089 + 0.643003210949595i	0.220558430371636 + 0.803135043608092i	0.526764446764726 + 0.725063981474767i	0.889465923060903 + 0.435655572655076i
0.893746671004582 - 0.411952128539348i	0.605804445569937 - 0.708904407093333i	0.214384278368463 - 0.788354836117993i	-0.122481581097354 - 0.653345189847318i	-0.121868424044685 + 0.678779651932250i	0.180081891229716 + 0.767644411031434i	0.561027338763392 + 0.704603193247856i	0.896627899924611 + 0.417356049354357i
0.936082223672634 - 0.423248490624277i	0.535241573376071 - 0.721908756647636i	0.163220184465985 - 0.796978349275337i	-0.114567311660387 - 0.675743131162538i	-0.131188392749873 + 0.658930671635683i	0.218614539691641 + 0.794264000174112i	0.553920891300029 + 0.704899120915287i	0.889202468506617 + 0.398255020977747i
0.868400558925900 - 0.426947545023773i	0.575362320563564 - 0.698157562243133i	0.190663897160082 - 0.783967337024203i	-0.138853934179704 - 0.627538986058442i	-0.143448249784722 + 0.650796642853040i	0.179428350915282 + 0.789043693223292i	0.566994307478977 + 0.670434385561251i	0.909769624185599 + 0.406774820502702i
0.897358423178373 - 0.421764487773556i	0.602926060157578 - 0.727284743645291i	0.212831062549674 - 0.767829540458646i	-0.102088509540389 - 0.639402934769307i	-0.114943648008196 + 0.654213595038538i	0.190035331641902 + 0.780856629191110i	0.604725275278467 + 0.703808488058297i	0.915004412794488 + 0.420033759126400i
0.905215163595505 - 0.463092749051568i	0.552939085621537 - 0.700753821015775i	0.180262097029951 - 0.771506300415999i	-0.118378432859822 - 0.645600503066511i	-0.0845713257432029 + 0.666664581526815i	0.225024440041171 + 0.775229715802491i	0.572292404877021 + 0.729024874832786i	0.884919112753782 + 0.420493978843915i
0.896335262629452 - 0.439930857272161i	0.572970647717784 - 0.726539033467373i	0.173940161293089 - 0.787253843607670i	-0.166283965565726 - 0.657384088382480i	-0.0838035313459279 + 0.639827924044705i	0.191843388755708 + 0.800984741104028i	0.564174254628565 + 0.713406133418985i	0.863881266344538 + 0.433132226843542i
0.901306798411146 - 0.428381619513599i	0.570814347111334 - 0.680278497463822i	0.198408523502562 - 0.752485973030051i	-0.127377668289337 - 0.652493135548392i	-0.149232149148641 + 0.647071455422192i	0.182887169292414 + 0.774861367832562i	0.554367834775088 + 0.708375071288855i	0.890483410967755 + 0.429010886237080i
0.911312961785668 - 0.442771912385880i	0.595730034808340 - 0.719992629233775i	0.225403107238200 - 0.789823495854549i	-0.144751259203626 - 0.651340784811037i	-0.167308724410061 + 0.688655141778183i	0.215919215119086 + 0.792126420830528i	0.613144845681461 + 0.683127665591722i	0.884760432457659 + 0.419620548619404i
