0.935264087055752 - 0.206302082338860i	0.931962826421422 - 0.386077077574941i	0.867587964116493 - 0.512699893209854i	0.703474910981940 - 0.649388610785430i	0.698873602227262 + 0.647915972315778i	0.804145702630633 + 0.562021453526941i	0.865058717603473 + 0.369930885373621i	0.984969267716863 + 0.186589942368689i
0.989567296836958 - 0.193374117642299i	0.874800431682046 - 0.351736655039663i	0.818321271370389 - 0.522497034377495i	0.686218704482381 - 0.659582919648912i	0.708518031862582 + 0.673217810401105i	0.846677962665936 + 0.522171233151951i	0.913025674913764 + 0.417670246124372i	0.973798913193747 + 0.157166550391660i
0.971357142953558 - 0.183336905675936i	0.881748677454030 - 0.372967070461539i	0.843147048224614 - 0.498035839724900i	0.710792430474595 - 0.685031981594225i	0.730456140473602 + 0.661132378890170i	0.810647615034805 + 0.496831399387181i	0.919582471323279 + 0.377941079927078i	0.984588948723464 + 0.163578723218959i
0.957001505699145 - 0.211406785977004i	0.912655347121506 - 0.376749093891655i	0.815578063995384 - 0.519840388287822i	0.741938432321893 - 0.648744744229970i	0.687433874358980 + 0.640899500515356i	0.849334609418506 + 0.572469364131190i	0.951626908988970 + 0.397158499924400i	0.991528107535994 + 0.184292624792962i
0.972587441580873 - 0.208037218058110i	0.906501011973607 - 0.341311634248373i	0.813818212718044 - 0.490573125502659i	0.735006533989137 - 0.653225014267764i	0.699863257171309 + 0.653469316050475i	0.851663947744497 + 0.508653045344274i	0.927194805092337 + 0.348111642503820i	0.978877112583456 + 0.203331455142229i
1.03343585440314 - 0.187771556246785i	0.921616463604562 - 0.336692753953496i	0.832547579935410 - 0.525982769171242i	0.718331129519752 - 0.658147381716522i	0.691779482045049 + 0.671169816721896i	0.851252065559379 + 0.537043353435884i	0.951978382635684 + 0.362628351427407i	0.947594450323068 + 0.188225387574291i
0.967127477661080 - 0.162165614044930i	0.949718320882973 - 0.368920671699297i	0.850969159084240 - 0.546647139570894i	0.706352812137663 - 0.699264791169296i	0.739622586910537 + 0.664502485875904i	0.846948188049583 + 0.535830254442857i	0.899939604717596 + 0.368962599400356i	0.967678153221678 + 0.182685235991574i
0.965087490970406 - 0.167456000768908i	0.947271352573649 - 0.364986988387620i	0.834175157868804 - 0.558034584016685i	0.735008608710018 - 0.687168289199649i	0.708330079012779 + 0.690884821908765i	0.828218660028998 + 0.542772528167553i	0.914578769608303 + 0.336378486569575i	0.959276046823723 + 0.210565367285810i
0.974834022534235 - 0.164677367985032i	0.951398359633059 - 0.376878240825603i	0.856827535297142 - 0.544711290792205i	0.715810998919196 - 0.691545977191368i	0.688543547046773 + 0.669063523066164i	0.844771393652286 + 0.548836761707068i	0.898877211615501 + 0.371132466298643i	0.985215972481956 + 0.188270115403492i
1.00074818568201 - 0.159097316144708i	0.923220462939837 - 0.405647681155528i	0.880887552359455 - 0.547895536497967i	0.719898446000208 - 0.693552134986110i	0.651523061734543 + 0.660207782568602i	0.808896600600987 + 0.524182238030852i	0.918614150552181 + 0.389374859190519i	0.957054490857623 + 0.189615109208639i
0.983689390731483 - 0.188480586610390i	0.944959039991095 - 0.368467988374803i	0.809136235223798 - 0.496540864917795i	0.700654724674622 - 0.663795635696053i	0.705205267028973 + 0.700631689059207i	0.792609470034107 + 0.512765721423673i	0.905767859595919 + 0.340398517762248i	0.982308971144332 + 0.179923757591191i
