0.919930112660696 - 0.292837487865525i	0.781651684661544 - 0.577428747853525i	0.530399958837572 - 0.763600733302450i	0.219737473741649 - 0.814243854115365i	0.289759856088692 + 0.824479230231976i	0.556261693292508 + 0.765695148101408i	0.770014455938861 + 0.548041273006496i	0.940661525527926 + 0.269335722214071i
0.941253601161929 - 0.279557426357176i	0.756850198421679 - 0.585212919919423i	0.526213980537575 - 0.774909804494177i	0.233217280958438 - 0.781359708569069i	0.259323653365486 + 0.809628949828593i	0.544572017047033 + 0.727544383303953i	0.772096644086096 + 0.570891640327176i	0.924696298497813 + 0.284569896477631i
0.975383268862003 - 0.305424467352914i	0.770588686308181 - 0.537426394632895i	0.539535756339615 - 0.776567404403462i	0.282656988835735 - 0.810697435059996i	0.256472117882055 + 0.807859355193047i	0.529034321516921 + 0.755878477052275i	0.768808623087537 + 0.562503638065432i	0.936388974204554 + 0.315901923715965i
0.956005698990930 - 0.342961113442635i	0.760134988250412 - 0.571334280727281i	0.508639842888466 - 0.718349717575176i	0.239133236594943 - 0.812213911151527i	0.219559586021703 + 0.847821851669868i	0.523729679254108 + 0.776440873256141i	0.801996035356530 + 0.537631829568589i	0.930329112742310 + 0.286205428680947i
0.918022597951983 - 0.284849181551334i	0.791583075300624 - 0.557061171934762i	0.513607237681383 - 0.738109006540337i	0.267830122256801 - 0.809676165922369i	0.264518813211189 + 0.804232070846079i	0.502215641787672 + 0.743173523174873i	0.779011256420325 + 0.599665127072306i	0.935856746251330 + 0.324775340856986i
0.950870901220619 - 0.328059273136840i	0.768901255449919 - 0.540821851479315i	0.545091211889176 - 0.785443292702987i	0.260047113891915 - 0.814997879393562i	0.278581957058716 + 0.779527054241207i	0.560443877221510 + 0.752209836081116i	0.810183809111342 + 0.564233218022866i	0.979018544915829 + 0.328163874636144i
0.924577085766833 - 0.312974232111661i	0.758183143986662 - 0.563136684791422i	0.578520002464658 - 0.730917952187047i	0.272660705405001 - 0.789239142496988i	0.292224270360238 + 0.845725692187211i	0.559632718887807 + 0.730776029144217i	0.806838467109208 + 0.541080029457368i	0.901945637036947 + 0.328850987648609i
0.957379077026782 - 0.307179936619543i	0.758565120958652 - 0.559448584145919i	0.519734360313620 - 0.732885596457213i	0.261029541554358 - 0.790751717593552i	0.271287372126813 + 0.837308732171334i	0.520078179024738 + 0.746289582596596i	0.800447957589941 + 0.559640639309491i	0.951923139089107 + 0.330884401503821i
0.913935681013386 - 0.317952753485352i	0.739093123605963 - 0.599402408810869i	0.478086566061577 - 0.741383337004256i	0.251786549718628 - 0.855445679409472i	0.266971867161062 + 0.790229098782887i	0.526041019812855 + 0.763652046057084i	0.768930034826908 + 0.581336598230089i	0.897906128714996 + 0.305619000777227i
0.946532355057402 - 0.321799338577424i	0.787283598864730 - 0.573808306982832i	0.531194612818002 - 0.741936442821422i	0.232925726169526 - 0.832881075321645i	0.265947109169483 + 0.786138472399494i	0.558651662848372 + 0.737031462149505i	0.821491723323439 + 0.520261280870132i	0.932470178936720 + 0.283396739427961i
0.919972821716588 - 0.282409982010725i	0.778949233255077 - 0.567567196135917i	0.547059624071827 - 0.719147586125546i	0.259384226758732 - 0.799324180546951i	0.278547390814734 + 0.815883426116671i	0.545055258733133 + 0.717585581844524i	0.758978321307750 + 0.558553800048606i	0.919442916668004 + 0.297667541203419i
