0.929393799502652 - 0.291539991914270i	0.789712851434978 - 0.548424783929435i	0.531219619203034 - 0.701596110364913i	0.233256548593256 - 0.818292942033090i	0.225145799006362 + 0.782101228886584i	0.515013188842753 + 0.725450506192454i	0.800659396372186 + 0.522119693463775i	0.941224730746390 + 0.313596706588172i
0.918621979745330 - 0.286468804999431i	0.781646200680319 - 0.543240128278492i	0.530515554370615 - 0.737932461836464i	0.200149844854671 - 0.781324445981821i	0.268812497041256 + 0.807232859979939i	0.563463497841055 + 0.748826649214287i	0.787188507802318 + 0.560918357065421i	0.961415945413005 + 0.332076117501344i
0.964378373537069 - 0.285401760123632i	0.772407553835221 - 0.532930419191792i	0.581064205431269 - 0.737034730888983i	0.277357613797719 - 0.803481024414099i	0.231545135955097 + 0.812577272646184i	0.506177057960669 + 0.756644793754732i	0.789405128102436 + 0.573726288345651i	0.949118750597755 + 0.302354858778886i
0.928902544804142 - 0.349664139430615i	0.806124632583793 - 0.540692856061611i	0.546719239381624 - 0.748966471349260i	0.305261651862437 - 0.792061722172269i	0.284202119278598 + 0.837099991716574i	0.526236747498474 + 0.719715318591800i	0.793751757003515 + 0.557637329878297i	0.927909979411968 + 0.308439973472476i
0.966051206408683 - 0.304931173734262i	0.807188984695084 - 0.535705056159110i	0.536549253325307 - 0.723125893542186i	0.259777917402446 - 0.786718267939188i	0.271889485517259 + 0.788097008540335i	0.560483324614509 + 0.734073118248734i	0.776043619475615 + 0.597455223003393i	0.907726094543172 + 0.275136576136820i
0.936024538806389 - 0.298640340737588i	0.734094130322912 - 0.574106678107824i	0.547561930667376 - 0.723827963682004i	0.231337991800961 - 0.786916223301943i	0.257494587798319 + 0.822426018513497i	0.511605485217416 + 0.745365261303771i	0.785721450486688 + 0.594102993687646i	0.932807386074452 + 0.280011604036766i
0.913556052864784 - 0.326278750850955i	0.749686230297526 - 0.566363631496314i	0.517159430764134 - 0.731493240749845i	0.273796889961129 - 0.761052073766988i	0.255928481968697 + 0.809626775922493i	0.475734190945989 + 0.735809935565691i	0.734143496126239 + 0.585167649985165i	0.952621367922532 + 0.315703007095768i
0.948343611811145 - 0.296352589730628i	0.742472933319443 - 0.590127552874934i	0.514244207545983 - 0.755072404796944i	0.292397794484283 - 0.810341685559163i	0.280909337373928 + 0.832384495147668i	0.565909295414626 + 0.719756908795990i	0.771460823863048 + 0.553836806588307i	0.932880110008475 + 0.339047419542476i
0.946526069658676 - 0.341943559638021i	0.781939076562906 - 0.562521634657563i	0.510215389524833 - 0.780054747084265i	0.285762886130605 - 0.767504486242085i	0.268106280461120 + 0.805259004255453i	0.514210363728970 + 0.731655342801192i	0.778418673302296 + 0.551759531474534i	0.940701397712793 + 0.321158673475495i
0.934703811780076 - 0.316692752338713i	0.786731378552414 - 0.563950705236578i	0.519240225824103 - 0.744199445234384i	0.276244374089711 - 0.796235986945525i	0.257682898557830 + 0.808734611479097i	0.558904666886711 + 0.747831082241359i	0.770250038681798 + 0.545058708594663i	0.976474578113164 + 0.296329315565580i
0.942053196758587 - 0.279587449996667i	0.763716626601589 - 0.578473533944716i	0.481611183829365 - 0.714205597666143i	0.228410056262416 - 0.808174731113489i	0.231156995903698 + 0.821369257316721i	0.523590319563201 + 0.749167710144097i	0.780985253816719 + 0.504882520869354i	0.941343339052690 + 0.314675656395207i
